"","progression","gamma_slowing","n","K","trial_number","p_value_mmrm","drop_first_occasions","constraints","interpolation","inference","B","p_value_TCT_common","estimate","conf_int_TCT_common_lower","conf_int_TCT_common_upper","se_TCT_common","se_TCT_common_bs","conf_int_TCT_common_lower_bs","conf_int_TCT_common_upper_bs"
"46","normal",1,50,5,5,0.467421257154508,0,FALSE,"spline","least-squares",500,0.144536124788734,0.599275549143783,-0.166707724931683,1.20366057277994,0.22683469109478,3.85464367799896,-0.100070320944541,1.30884302692361
"47","normal",1,50,5,5,0.467421257154508,1,TRUE,"spline","wald",0,0.0351224248246846,0.665222699721011,0.353799416346483,0.97664598309554,0.158892349977344,NA,NA,NA
"48","normal",1,50,5,5,0.467421257154508,1,TRUE,"spline","least-squares",0,0.232130170268504,0.249570265921156,-0.171257741617753,1.77365491865414,0.373553463399181,NA,NA,NA
"49","normal",1,50,5,5,0.467421257154508,1,FALSE,"spline","wald",0,0.0351224248246846,0.665222699721011,0.353799416346483,0.97664598309554,0.158892349977344,NA,NA,NA
"50","normal",1,50,5,5,0.467421257154508,1,FALSE,"spline","least-squares",0,0.232130170268504,0.249570265921156,-0.171257741617753,1.77365491865414,0.373553463399181,NA,NA,NA
"51","normal",1,50,6,1,0.987492573968709,0,TRUE,"spline","wald",0,0.697038999140013,1.17230429508713,0.304869557721026,2.03973903245323,0.442576876008089,NA,NA,NA
"52","normal",1,50,6,1,0.987492573968709,0,TRUE,"spline","score",0,0.87037538147806,1.08910343704685,0.141595578109798,3.48442093794644,0.561009700464455,NA,NA,NA
"53","normal",1,50,6,1,0.987492573968709,0,TRUE,"spline","least-squares",0,0.745283388013553,1.06642288916741,0.733337750861813,1.66111499785312,0.321462846298806,NA,NA,NA
"54","normal",1,50,6,1,0.987492573968709,0,FALSE,"spline","wald",0,0.427592993134897,0.63535462825761,-0.265535616000312,1.53624487251553,0.459646325832531,NA,NA,NA
"55","normal",1,50,6,1,0.987492573968709,0,FALSE,"spline","score",0,0.870375043278731,1.08928500958644,0.137317986432934,3.48346769692083,0.562120504913699,NA,NA,NA
"56","normal",1,50,6,1,0.987492573968709,0,FALSE,"spline","least-squares",500,0.779998842470773,1.04695657262389,0.78076915205675,1.56633499717063,0.315830458133951,3.48729517534145,0.130966917817364,1.63852010104193
"57","normal",1,50,6,1,0.987492573968709,1,TRUE,"spline","wald",0,0.567836634234974,1.26850298675135,0.347251444059006,2.18975452944369,0.47003493429423,NA,NA,NA
"58","normal",1,50,6,1,0.987492573968709,1,TRUE,"spline","least-squares",0,0.723244428507649,1.08117090159707,0.734009423154778,2.27140385757586,0.415888110088197,NA,NA,NA
"59","normal",1,50,6,1,0.987492573968709,1,FALSE,"spline","wald",0,0.664848987783661,0.795881574792133,-0.127568824426633,1.7193319740109,0.471156820483858,NA,NA,NA
"60","normal",1,50,6,1,0.987492573968709,1,FALSE,"spline","least-squares",0,0.721516099146772,1.07189038364443,0.777930379404743,2.13430579445797,0.420667583401363,NA,NA,NA
"61","normal",1,50,6,2,0.295935648697617,0,TRUE,"spline","wald",0,0.342970224189818,0.825007006829686,0.463333142041705,1.18668087161767,0.184530872832775,NA,NA,NA
"62","normal",1,50,6,2,0.295935648697617,0,TRUE,"spline","score",0,0.910006392150803,1.03775083813027,0.463252728578651,1.95261541711138,0.335928837569659,NA,NA,NA
"63","normal",1,50,6,2,0.295935648697617,0,TRUE,"spline","least-squares",0,0.157518038623357,1.14116699278824,0.365238493048181,1.81433890779745,0.187667029890279,NA,NA,NA
"64","normal",1,50,6,2,0.295935648697617,0,FALSE,"spline","wald",0,0.342970224189818,0.825007006829686,0.463333142041705,1.18668087161767,0.184530872832775,NA,NA,NA
"65","normal",1,50,6,2,0.295935648697617,0,FALSE,"spline","score",0,0.910006392150803,1.03775083813027,0.463252728578651,1.95261541711138,0.335928837569659,NA,NA,NA
"66","normal",1,50,6,2,0.295935648697617,0,FALSE,"spline","least-squares",500,0.157518038623357,1.14116699278824,0.365238493048181,1.81433890779745,0.187667029890279,0.477128957143805,0.193082019270418,2.19945491894449
"67","normal",1,50,6,2,0.295935648697617,1,TRUE,"spline","wald",0,0.325234855011586,0.818280618561557,0.456236606173585,1.18032463094953,0.184719727119339,NA,NA,NA
"68","normal",1,50,6,2,0.295935648697617,1,TRUE,"spline","least-squares",0,0.186231494719169,1.14328805181322,0.377224108585813,2.31280231431605,0.193251339868876,NA,NA,NA
"69","normal",1,50,6,2,0.295935648697617,1,FALSE,"spline","wald",0,0.325234855011586,0.818280618561557,0.456236606173585,1.18032463094953,0.184719727119339,NA,NA,NA
"70","normal",1,50,6,2,0.295935648697617,1,FALSE,"spline","least-squares",0,0.186231494719169,1.14328805181322,0.377224108585813,2.31280231431605,0.193251339868876,NA,NA,NA
"71","normal",1,50,6,3,0.141074807245972,0,TRUE,"spline","wald",0,0.591741825670708,0.883101801361321,0.455896049505363,1.31030755321728,0.217966123472524,NA,NA,NA
"72","normal",1,50,6,3,0.141074807245972,0,TRUE,"spline","score",0,0.233673947644648,1.5241876218637,0.73054754641179,4.22460633239917,0.54523950584593,NA,NA,NA
"73","normal",1,50,6,3,0.141074807245972,0,TRUE,"spline","least-squares",0,0.12168068171576,0.796752884697698,0.417598465485872,4.63984569563385,0.214452873011542,NA,NA,NA
"74","normal",1,50,6,3,0.141074807245972,0,FALSE,"spline","wald",0,0.0823883273596251,0.713466539893712,0.390151985772877,1.03678109401455,0.164959436332044,NA,NA,NA
"75","normal",1,50,6,3,0.141074807245972,0,FALSE,"spline","score",0,0.233673947644646,1.5241876218637,0.730547546411792,4.22460633239916,0.54523950584593,NA,NA,NA
"76","normal",1,50,6,3,0.141074807245972,0,FALSE,"spline","least-squares",500,0.180350643146863,0.603778850838236,0.328346489071144,6.68423843221249,0.112459749348818,6.048413454653,-3.91397527342887e-10,2.47890436975972
"77","normal",1,50,6,3,0.141074807245972,1,TRUE,"spline","wald",0,0.830134054126174,1.05123144970646,0.583175868081607,1.51928703133132,0.238808256333697,NA,NA,NA
"78","normal",1,50,6,3,0.141074807245972,1,TRUE,"spline","least-squares",0,0.0134018209299328,0.790395356723061,1.27143448169477,2.9133406474287,0.222809309082348,NA,NA,NA
"79","normal",1,50,6,3,0.141074807245972,1,FALSE,"spline","wald",0,0.268562224498105,0.805238339634822,0.460215873212317,1.15026080605733,0.176035105310097,NA,NA,NA
"80","normal",1,50,6,3,0.141074807245972,1,FALSE,"spline","least-squares",0,0.190164032268971,0.600997819002579,0.328441346822866,8.35781615802651,0.115878529938773,NA,NA,NA
"81","normal",1,50,6,4,0.102151891649948,0,TRUE,"spline","wald",0,1.65016175281973e-05,0.623900987453875,0.452776442949356,0.795025531958394,0.0873100454163075,NA,NA,NA
"82","normal",1,50,6,4,0.102151891649948,0,TRUE,"spline","score",0,0.0747166757016415,0.628286789053252,0.250417827732039,1.03781085004755,0.170831217573935,NA,NA,NA
"83","normal",1,50,6,4,0.102151891649948,0,TRUE,"spline","least-squares",0,0.0022893313702708,0.621885527280982,0.356610059360147,0.82756636170595,0.0800222279817701,NA,NA,NA
"84","normal",1,50,6,4,0.102151891649948,0,FALSE,"spline","wald",0,1.65016175281973e-05,0.623900987453875,0.452776442949356,0.795025531958394,0.0873100454163075,NA,NA,NA
"85","normal",1,50,6,4,0.102151891649948,0,FALSE,"spline","score",0,0.0747166757016415,0.628286789053252,0.250417827732039,1.03781085004755,0.170831217573935,NA,NA,NA
"86","normal",1,50,6,4,0.102151891649948,0,FALSE,"spline","least-squares",500,0.0022893313702708,0.621885527280982,0.356610059360147,0.82756636170595,0.0800222279817701,0.182286602984693,0.150273707176832,0.942081298003879
"87","normal",1,50,6,4,0.102151891649948,1,TRUE,"spline","wald",0,3.14236632363851e-05,0.633174110315895,0.460466085146338,0.805882135485452,0.0881179585603898,NA,NA,NA
"88","normal",1,50,6,4,0.102151891649948,1,TRUE,"spline","least-squares",0,0.00588353886717665,0.632824228362464,0.37906019223763,0.866770244987209,0.083949436120794,NA,NA,NA
"89","normal",1,50,6,4,0.102151891649948,1,FALSE,"spline","wald",0,3.14236632363851e-05,0.633174110315895,0.460466085146338,0.805882135485452,0.0881179585603898,NA,NA,NA
"90","normal",1,50,6,4,0.102151891649948,1,FALSE,"spline","least-squares",0,0.00588353886717665,0.632824228362464,0.37906019223763,0.866770244987209,0.083949436120794,NA,NA,NA
"91","normal",1,50,6,5,0.286560012884143,0,TRUE,"spline","wald",0,2.94852866902229e-05,0.42208303895875,0.150934743491336,0.693231334426164,0.138343509169657,NA,NA,NA
